会員ID,登録エリア,登録エリアA,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリアA,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,その他,福井県内での交通手段ALL,自家用車,レンタカー,タクシー,在来線,旅行会社ツアーバス,路線バス,徒歩,レンタサイクル,その他,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,その他,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,アンケート回答前に訪問した主な場所FA,エリア総消費額,満足度(商品・サービス),満足度(商品・サービス)の理由,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向,福井県に求めるもの
150784,金ヶ崎 エリア,金ヶ崎 エリア,男,1992,32,30代,神奈川県,海老名市,500万円以上 600万円未満,mobile/android,2024-03-17 14:21:20,3月,スーベニアショップふらぷとる エリア,スーベニアショップふらぷとる エリア,25.スーベニアショップふらぷとる エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),4泊以上,2泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,恋人,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,北陸新幹線延伸開業1番列車の乗車,"在来線
",0,0,0,1,0,0,0,0,"路線バス
その他
",0,0,0,0,0,1,0,0,えちぜん鉄道,とても満足,,"10,000円以上 20,000円未満","40,000円以上 50,000円未満","10,000円以上 20,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,恐竜博物館,選択なし/該当施設なし,,"3,000円以上 5,000円未満",とても満足,,満足,,感じた,路線バスからえちぜん鉄道に乗り換える際の待機時間が長い,8,,,福井県在住,
152202,神楽通り エリア,神楽通り エリア,男,1970,54,50代,兵庫県,姫路市,"1,500万円以上",mobile/android,2024-03-17 14:10:58,3月,レインボーライン エリア,レインボーライン エリア,77.レインボーライン エリア,美浜町,嶺南東部,三方五湖DMO(株),1泊,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,友人,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"新幹線
",0,0,1,0,0,0,0,0,"レンタカー
",0,1,0,0,0,0,0,0,0,,,"50,000円以上 100,000円未満","10,000円以上 20,000円未満","5,000円以上 10,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,氣比神宮,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",とても満足,,とても満足,,感じなかった,,9,,,機会があれば行きたい,
152235,web,,女,1974,50,50代,愛知県,春日井市,"900万円以上 1,000万円未満",mobile/iphone,2024-03-17 14:08:39,3月,越前そばの里 エリア,越前そばの里 エリア,37.越前そばの里 エリア,越前市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
その他
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,蟹を買いに,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"20,000円以上 30,000円未満","5,000円以上 10,000円未満","3,000円以上 5,000円未満",6～10回目,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,満足,,感じなかった,,8,,,機会があれば行きたい,
152236,若狭フィッシャーマンズワーフ エリア,若狭フィッシャーマンズワーフ エリア,女,1980,44,40代,兵庫県,川西市,600万円以上 700万円未満,mobile/android,2024-03-17 14:06:58,3月,若狭フィッシャーマンズワーフ エリア,若狭フィッシャーマンズワーフ エリア,70.若狭フィッシャーマンズワーフ エリア,小浜市,嶺南西部,(株)まちづくり小浜,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,夫婦2人,"宿でのんびり過ごす
温泉や露天風呂
地元の美味しいものを食べる
花見や紅葉などの自然鑑賞
名所、旧跡の観光
買い物、アウトレット
まちあるき、都市散策
ドライブ・ツーリング
",1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"20,000円以上 30,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,一乗谷朝倉氏遺跡,,"1,000円未満",満足,,満足,トイレがキレイだった,感じなかった,,8,,,また行きたい（1年以内）,
152234,紫式部公園 エリア,紫式部公園 エリア,女,1967,57,50代,千葉県,松戸市,400万円以上 500万円未満,mobile/android,2024-03-17 14:00:16,3月,紫式部公園 エリア,紫式部公園 エリア,41.紫式部公園 エリア,越前市,丹南,,3泊,3泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,自分ひとり,"宿でのんびり過ごす
温泉や露天風呂
お祭りやイベントへの参加・見物
まちあるき、都市散策
",1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","30,000円以上 40,000円未満",2～5回目,"観光展・物産展
TV・ラジオ番組やCM
インターネット・アプリ
",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,越前大野城,,劔神社,,"1,000円未満",満足,,満足,,感じなかった,,7,のんびりできる,,また行きたい（1年以内）,
152232,web,,男,1983,41,40代,福井県,福井市,100万円未満,mobile/iphone,2024-03-17 13:58:04,3月,福井駅前 エリア,福井駅前 エリア,01.福井駅前 エリア,福井市,福井市・永平寺町,,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,自分ひとり,"温泉や露天風呂
名所、旧跡の観光
テーマパーク（遊園地、動物園、博物館など）
",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",0,0,0,0,0,0,1,0,"在来線
徒歩
",0,0,0,1,0,0,1,0,0,満足,案内も適切でした,"10,000円以上 20,000円未満","3,000円以上 5,000円未満","5,000円以上 10,000円未満",11回目以上,"観光協会等の案内所
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,北の庄城址・柴田公園,,養浩館庭園,,"1,000円以上 3,000円未満",満足,新しくなっててきれい,満足,よかった,感じなかった,なし,10,新幹線開業,アーケードなど雨の日でも歩きやすい環境,また行きたい（1年以内）,ソースカツ丼、おろしそば、海鮮に追加してグルメが欲しい
152231,うみんぴあ大飯 エリア,道の駅「うみんぴあ大飯」,女,1975,49,40代,大阪府,池田市,700万円以上 800万円未満,mobile/iphone,2024-03-17 13:56:21,3月,うみんぴあ大飯 エリア,道の駅「うみんぴあ大飯」,84.うみんぴあ大飯 エリア,おおい町,嶺南西部,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,その他家族,"地元の美味しいものを食べる
名所、旧跡の観光
まちあるき、都市散策
",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,使わない,"5,000円以上 10,000円未満","20,000円以上 30,000円未満",初めて,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,たまたま近くを通ったから,選択なし/該当施設なし,,神宮寺,,"5,000円以上 10,000円未満",満足,"へしこの種類が沢山あって良かった。
野菜も新鮮で良かった。
レジの店員さんの感じが良かった",満足,,感じなかった,,10,神宮寺が素晴らしかった,鮮魚も置いて欲しい,また行きたい（1年以内）,
145392,web,,男,1998,26,20代,東京都,練馬区,分からない/無回答,mobile/iphone,2024-03-17 13:54:37,3月,金ヶ崎 エリア,金ヶ崎 エリア,64.金ヶ崎 エリア,敦賀市,嶺南東部,,2泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,石川県金沢市,恋人,"温泉や露天風呂
名所、旧跡の観光
",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"新幹線
",0,0,1,0,0,0,0,0,"レンタサイクル
",0,0,0,0,0,0,0,1,0,満足,借りやすかった,"10,000円以上 20,000円未満","30,000円以上 40,000円未満","10,000円以上 20,000円未満",初めて,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,氣比神宮,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,とても満足,,感じなかった,,8,,,また行きたい（1年以内）,
152230,えちぜん鉄道 松岡駅 エリア,えちぜん鉄道 松岡駅 エリア,男,1975,49,40代,富山県,滑川市,"900万円以上 1,000万円未満",mobile/iphone,2024-03-17 13:54:07,3月,えちぜん鉄道 松岡駅 エリア,えちぜん鉄道 松岡駅 エリア,33.えちぜん鉄道 松岡駅 エリア,永平寺町,福井市・永平寺町,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,その他家族,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,子供の送迎,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,どちらでもない,,使わない,"5,000円以上 10,000円未満","5,000円以上 10,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",どちらでもない,,どちらでもない,,感じなかった,,5,,,,
152108,敦賀市立博物館 エリア,敦賀市立博物館 エリア,男,1976,48,40代,大阪府,大阪市北区,600万円以上 700万円未満,mobile/iphone,2024-03-17 13:53:52,3月,福井駅前 エリア,福井駅前 エリア,01.福井駅前 エリア,福井市,福井市・永平寺町,,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,自分ひとり,"お祭りやイベントへの参加・見物
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"在来線
",0,0,0,1,0,0,0,0,"在来線
",0,0,0,1,0,0,0,0,0,満足,,"20,000円以上 30,000円未満","5,000円以上 10,000円未満","20,000円以上 30,000円未満",11回目以上,"観光パンフレット・ポスター
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,一乗谷朝倉氏遺跡,,北の庄城址・柴田公園,,"3,000円以上 5,000円未満",満足,,満足,,感じなかった,,7,,,機会があれば行きたい,
152226,一乗谷朝倉氏遺跡 エリア,福井県立一乗谷朝倉氏遺跡博物館,女,1966,58,50代,福井県,越前市,"1,000万円以上 1,200万円未満",mobile/android,2024-03-17 13:52:30,3月,一乗谷朝倉氏遺跡 エリア,福井県立一乗谷朝倉氏遺跡博物館,06.一乗谷朝倉氏遺跡 エリア,福井市,福井市・永平寺町,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,友人,"名所、旧跡の観光
テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,使わない,使わない,"3,000円以上 5,000円未満",2～5回目,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,一乗谷朝倉氏遺跡,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",満足,,とても満足,,感じなかった,,10,説明が楽しかった,ゴブレットのサービス嬉しかったです,福井県在住,
152229,えちぜん鉄道 松岡駅 エリア,えちぜん鉄道 松岡駅 エリア,女,2004,20,20代,富山県,滑川市,分からない/無回答,mobile/iphone,2024-03-17 13:50:56,3月,えちぜん鉄道 松岡駅 エリア,えちぜん鉄道 松岡駅 エリア,33.えちぜん鉄道 松岡駅 エリア,永平寺町,福井市・永平寺町,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,親,"地元の美味しいものを食べる
買い物、アウトレット
まちあるき、都市散策
",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,満足,,"3,000円以上 5,000円未満","1,000円以上 3,000円未満","3,000円以上 5,000円未満",2～5回目,"観光パンフレット・ポスター
友人・知人
",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,満足,,感じなかった,,8,,,,
152225,若狭フィッシャーマンズワーフ エリア,若狭フィッシャーマンズワーフ エリア,男,1963,61,60代,兵庫県,西宮市,500万円以上 600万円未満,mobile/iphone,2024-03-17 13:50:04,3月,若狭フィッシャーマンズワーフ エリア,若狭フィッシャーマンズワーフ エリア,70.若狭フィッシャーマンズワーフ エリア,小浜市,嶺南西部,(株)まちづくり小浜,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,夫婦2人,"宿でのんびり過ごす
地元の美味しいものを食べる
まちあるき、都市散策
",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"20,000円以上 30,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",初めて,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,蘇洞門めぐり,選択なし/該当施設なし,美浜駅,道の駅「若狭おばま」,,"1,000円以上 3,000円未満",どちらでもない,,どちらでもない,,感じなかった,,5,,,機会があれば行きたい,"周囲の情報がもっと知りたい
常にネットで検索しないといけない"
126880,web,,女,1984,40,40代,京都府,京都市右京区,500万円以上 600万円未満,mobile/iphone,2024-03-17 13:49:22,3月,うみんぴあ大飯 エリア,SEE SEA PARK（EAST棟　若狭おおい観光案内所）,84.うみんぴあ大飯 エリア,おおい町,嶺南西部,,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,小学生以下連れの家族,"アウトドア（海水浴、釣り、登山など）
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,とても満足,駐車場がとても広い,"3,000円以上 5,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",2～5回目,"観光協会等の案内所
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,赤礁崎オートキャンプ場,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",とても満足,,とても満足,,感じなかった,,10,,,また行きたい（1年以内）,
152094,名田庄 エリア,道の駅「名田庄」,女,2012,12,10代,京都府,京都市右京区,分からない/無回答,mobile/iphone,2024-03-17 13:48:35,3月,うみんぴあ大飯 エリア,SEE SEA PARK（EAST棟　若狭おおい観光案内所）,84.うみんぴあ大飯 エリア,おおい町,嶺南西部,,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,親,"アウトドア（海水浴、釣り、登山など）
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,とても満足,,"1,000円未満","1,000円以上 3,000円未満",使わない,6～10回目,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,よってっ亭,エルガイアおおい,,赤礁崎オートキャンプ場,,使わない,とても満足,エルガイアでは無料で遊べて発電などについて知れてとても楽しい,とても満足,色々なものがあってとても良い,感じなかった,,10,,,また行きたい（1年以内）,
152222,名田庄 エリア,おおい町暦会館,男,1967,57,50代,京都府,京都市伏見区,100万円未満,mobile/iphone,2024-03-17 13:41:22,3月,名田庄 エリア,おおい町暦会館,86.名田庄 エリア,おおい町,嶺南西部,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,その他家族,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,とても満足,,"1,000円以上 3,000円未満","1,000円以上 3,000円未満","1,000円以上 3,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,満足,,感じなかった,,10,,,,
152092,越前海岸 高佐米ノ旅館街 エリア,越前温泉露天風呂「日本海」,男,1963,61,60代,東京都,品川区,600万円以上 700万円未満,mobile/iphone,2024-03-17 13:38:43,3月,えちぜん鉄道 永平寺口駅 エリア,ESHIKOTO,31.えちぜん鉄道 永平寺口駅 エリア,永平寺町,福井市・永平寺町,,1泊,1泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,夫婦2人,"宿でのんびり過ごす
温泉や露天風呂
地元の美味しいものを食べる
",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,満足,,"40,000円以上 50,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",2～5回目,"観光パンフレット・ポスター
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,越前大野城,,一乗谷朝倉氏遺跡,,"5,000円以上 10,000円未満",満足,,満足,,感じなかった,,8,,,機会があれば行きたい,
130441,web,,男,1967,57,50代,福井県,福井市,500万円以上 600万円未満,mobile/android,2024-03-17 13:37:26,3月,一乗谷朝倉氏遺跡 エリア,福井県立一乗谷朝倉氏遺跡博物館,06.一乗谷朝倉氏遺跡 エリア,福井市,福井市・永平寺町,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"まちあるき、都市散策
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"5,000円以上 10,000円未満","1,000円未満","5,000円以上 10,000円未満",11回目以上,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,,"5,000円以上 10,000円未満",とても満足,,とても満足,,感じなかった,,5,,,,
148355,名田庄 エリア,おおい町暦会館,男,1984,40,40代,京都府,京都市右京区,500万円以上 600万円未満,mobile/iphone,2024-03-17 13:36:07,3月,うみんぴあ大飯 エリア,SEE SEA PARK（EAST棟　若狭おおい観光案内所）,84.うみんぴあ大飯 エリア,おおい町,嶺南西部,,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,京都府,小学生以下連れの家族,"アウトドア（海水浴、釣り、登山など）
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",11回目以上,"宿泊施設
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,きのこの森,,エルガイアおおい,,"5,000円以上 10,000円未満",とても満足,,とても満足,,感じなかった,,9,,,また行きたい（1年以内）,
145203,web,,女,1964,60,60代,福井県,鯖江市,100万円未満,mobile/iphone,2024-03-17 13:35:35,3月,越前そばの里 エリア,越前そばの里 エリア,37.越前そばの里 エリア,越前市,丹南,,日帰り,4泊以上,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,中学生以上連れの家族,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"3,000円以上 5,000円未満","1,000円以上 3,000円未満","3,000円以上 5,000円未満",11回目以上,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,"お蕎麦もソースカツ丼も両方楽しめる。
お土産も沢山あって、嬉しい。",満足,,感じた,人気なので、仕方ないとは思うが、食事までの、待ち時間が長かった。,8,,,また行きたい（1年以内）,
127156,web,,男,1970,54,50代,三重県,伊勢市,400万円以上 500万円未満,mobile/android,2024-03-17 13:34:56,3月,越前和紙の里 エリア,越前和紙の里 エリア,36.越前和紙の里 エリア,越前市,丹南,,1泊,福井県内には宿泊しない,福井県内には宿泊しない,石川県加賀市,恋人,"まちあるき、都市散策
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,とても満足,和紙、日本らしくて良かった,"20,000円以上 30,000円未満","3,000円以上 5,000円未満","5,000円以上 10,000円未満",初めて,"観光パンフレット・ポスター
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,越前がにミュージアム,,敦賀赤レンガ倉庫,,使わない,とても満足,かわいい和紙のだるまがあった,とても満足,きれい,感じなかった,,10,和紙のだるま,体験は楽しい,また行きたい（1年以内）,美味しいものが食べたい
152220,劔神社 エリア,劒神社 エリア,女,1967,57,50代,福井県,坂井市,400万円以上 500万円未満,mobile/android,2024-03-17 13:29:39,3月,劔神社 エリア,劒神社 エリア,51.劔神社 エリア,越前町,丹南,一般社団法人 越前町観光連盟,日帰り,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
名所、旧跡の観光
",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",0,0,0,0,0,0,1,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,使わない,"1,000円以上 3,000円未満","5,000円以上 10,000円未満",2～5回目,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,ふれあいパーク三里浜(道の駅「みくに」),,"5,000円以上 10,000円未満",満足,,満足,,感じなかった,,7,,,福井県在住,
152218,若狭海遊バザール 千鳥苑 エリア,若狭海遊バザール 千鳥苑 エリア,男,1961,63,60代,岐阜県,岐阜市,800万円以上 900万円未満,tablet/ipad,2024-03-17 13:18:53,3月,若狭海遊バザール 千鳥苑 エリア,若狭海遊バザール 千鳥苑 エリア,78.若狭海遊バザール 千鳥苑 エリア,美浜町,嶺南東部,三方五湖DMO(株),日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"旅行会社ツアーバス
",0,0,0,0,0,1,0,0,"旅行会社ツアーバス
",0,0,0,0,1,0,0,0,0,満足,,"3,000円以上 5,000円未満","1,000円以上 3,000円未満","5,000円以上 10,000円未満",初めて,"観光パンフレット・ポスター
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,満足,,感じなかった,,8,,,また行きたい（1年以内）,
130696,一乗谷朝倉氏遺跡 エリア,,女,1967,57,50代,愛知県,岡崎市,500万円以上 600万円未満,mobile/android,2024-03-17 13:11:52,3月,越前そばの里 エリア,越前そばの里 エリア,37.越前そばの里 エリア,越前市,丹南,,1泊,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,夫婦2人,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,満足,公共交通機関がない,"20,000円以上 30,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,越前海岸,紫式部公園,選択なし/該当施設なし,,"1,000円以上 3,000円未満",どちらでもない,,どちらでもない,,感じた,どのくらいまてば蕎麦が食べれるのかわからない,6,越前蟹,,また行きたい（1年以内）,
152215,若狭海遊バザール 千鳥苑 エリア,若狭海遊バザール 千鳥苑 エリア,女,1961,63,60代,岐阜県,岐阜市,400万円以上 500万円未満,tablet/ipad,2024-03-17 13:08:08,3月,若狭海遊バザール 千鳥苑 エリア,若狭海遊バザール 千鳥苑 エリア,78.若狭海遊バザール 千鳥苑 エリア,美浜町,嶺南東部,三方五湖DMO(株),1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,石川県金沢市,夫婦2人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"旅行会社ツアーバス
",0,0,0,0,0,1,0,0,"旅行会社ツアーバス
",0,0,0,0,1,0,0,0,0,満足,景色がよかったう,"5,000円以上 10,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,,"10,000円以上 20,000円未満",満足,,満足,,感じなかった,,7,景観の良さ,もっとお土産を増やしてほしい,また行きたい（1年以内）,
152217,web,,女,1968,56,50代,岐阜県,岐阜市,700万円以上 800万円未満,mobile/android,2024-03-17 13:06:41,3月,紫式部公園 エリア,紫式部公園 エリア,41.紫式部公園 エリア,越前市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,使わない,"5,000円以上 10,000円未満","20,000円以上 30,000円未満",初めて,"観光パンフレット・ポスター
インターネット・アプリ
",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,越前そばの里,,"1,000円未満",とても満足,,とても満足,,感じなかった,,10,,,また行きたい（1年以内）,
